7up;0;0;8,7;38

"Actimel разных видов""";2,9;1,6;12;75

Абрикосовый сок;0,9;0,1;12,7;55

Абрикосы;0,9;0,1;9;44

Авокадо;2;14,6;8,5;160

Айва;0,6;0,5;9,6;48

Алыча;0,2;0,1;7,9;34

Амарант вареный;3,8;1,6;16.6;102

Амарант крупа;13,6;7;58.6;371

Амур белый;18,6;5,3;0;134

Ананас;0,4;0,2;11,5;52

Ананасовый;0,3;0,1;11,4;48

Апельсиновый;0,9;0,2;13,2;60

Апельсины;0,9;0,2;8,1;43

Арахис;26,3;45,2;9,9;552

Арахис жареный;26;52;13,4;626

Арбуз;0,6;0,1;5,8;27

Аргентина;17,6;2;0;88

Артишок;1,2;0,1;6;28

Базилик;2,5;0,6;4,3;27

Баклажаны;1,2;0,1;4,5;24

Банан;1,5;0,5;21;96

Бананы сушеные;3,9;1,8;78,4;346

Баранина 1 категории;15,6;16,3;0;209

Баранина 2 категории;19,8;9,6;0;166

Батат (сладкий картофель);1,6;0,05;17,1;86

Батат отварной без кожуры;1,4;0,14;15,2;76

Белок;11,1;0;0;44

Березовый;0,1;0;5,8;24

Бразильский орех;14,3;67,1;4,2;659

Бройлеры (цыплята) 1 кат.;18,7;16,1;0;220

Бройлеры (цыплята) 2 кат.;19,7;11,2;0;180

Брусника;0,7;0,5;8,2;46

Брынза из коровьего молока;22,1;19,2;0,4;262

Брюква;1,2;0,1;7,7;37

Бычки в томатном соусе;17,5;2;0;88

Бычок;17,5;2;0;88

Варенье вишневое;0;0;64;256

Варенье из черной смородины;0,6;0;72,9;282

Варенье клубничное;0,3;0;74;282

Варенье малиновое;0,6;0;70,4;270

Варенье сливовое;0,7;0;74,6;283

Варенье черничное;0,4;0;51,6;211

Варенье яблочное;0,4;0;68,7;260

Вафли;3,2;2,8;52;342

Ветчина рубленая;16,3;20,7;1,8;263

Вешенки свежие;2,5;0,3;6,5;3,8

Виноград;0,6;0,6;15,4;72

Виноградный;0,3;0,2;16,3;70

Вишня;0,8;0,2;10,6;52

Вишня сушеная;1,5;0;73;290

Вобла;18;2,8;0;95

Вобла вяленая;46,4;5,5;0;235

Водоросли вакаме (ундария перистая) сырые;3;0,64;9,3;45

Вымя;12,3;13,7;0;173

Галеты;11;1,5;75;360

Говядина 1 категории;18,6;16;0;218

Говядина 2 категории;20;9,8;0;168

Говядина тушеная консервированная;16,8;17;0,2;220

Говядина, вырезка;22,2;7,1;0;158

Голубика;1;0,5;6,6;39

Горбуша;20,5;6,5;0;140

Горбуша в томатном соусе;15;6;4,1;130

Горбуша горячего копчения;23,2;7,6;0;161

Горбуша натуральная;20,9;5,8;0;136

Горбуша соленая;22,1;9;0;169

Горох вареный;8,3;0.4;21;118

Горох зерно;20,5;2;49,5;298

Горох колотый;23;1,6;48,1;299

Горох целый шлифованный;22;2;57;330

Горошек зеленый;3,1;0,2;6,5;40

Горошек зеленый свежий;5;0,2;8,3;55

Горчица листовая;2,9;0,4;1,5;27

Гранат;0,7;0,6;14,5;72

Гранатовый;0,3;0,1;14,2;56

Грейпфрут;0,7;0,2;6,5;35

Грейпфрутовый;0,3;0,1;7,9;38

Грецкие орехи;16,2;60,8;11,1;656

Гречка вареная;4,1;1;18,5;100

"Гречка зеленая (""Мистраль"")";13,4;3;68;328

Гречневый продел;9,5;2,3;60,4;300

Грибы белые свежие;3,7;1,7;1,1;34

Грибы белые сушеные;30,3;14,3;9;286

Грудинка сырокопченая;8,9;63,3;0;605

Грузди свежие;1,8;0,5;0,8;16

Груша;0,4;0,3;10,3;47

Груша сушеная;2,3;0,6;62,6;270

Грушевый;0,4;0;11;45

Гусь домашний, мясо;22,7;7,1;0;161

Гусь домашний, мясо и кожа;15,8;39;0;412

Дайкон;1,2;0;4,1;21

Дорадо;18;3;0;96

Дуриан;1,5;5,3;23,3;147

Дыня;0,6;0,3;7,4;35

Дыня сушеная;0,7;0,1;82,2;341

Ежевика;1,5;0,5;4,4;34

Желток;16,2;31,2;1;354

Жир говяжий, свиной, бараний топленые;0;99,7;0;897

Жир кулинарный, кондитерский;0;99,7;0;897

Жир рыбий;0;100;0;902

Зефир;1;0,1;80,5;311

Зефир в шоколаде;2;10;70;365

Зубатка пестрая;19,6;5,3;0;126

Изюм;2,5;0,54;67,7;296

Изюм кишмиш;2,3;0,5;65,8;281

Икра баклажанная;1,7;13,3;5,1;148

Икра кабачковая;2;9;8,6;122

Икра красная лососевая;32;15;0;263

Икра минтая пробойная;27,9;1,8;1,1;132

"Икра мойвы ""Санта Бремор""";9,3;38,6;0;382

Икра осетровая паюсная;38,2;14,5;1,5;289

Икра сельди;31,6;10,3;0;222

Икра черная осетровая зернистая;28,4;9,3;0,6;200

Икра щучья;17,3;2;0;87

Имбирь, корень сырой;1,8;0,75;15,8;80

Индейка;19,5;22;0;276

Индейка, грудка;23,6;1,5;0;114

Индейка, фарш;20;8;0,5;161

Инжир свежий;0,7;0,2;12;54

Инжир сушеный;3,1;0,8;57,9;257

"Йогурт ""Активиа"" разных видов""";4,5;3,5;15,8;107

Йогурт греческий;7;6;4,2;100

Кабан;21,5;3,3;0;122

Кабачки;0,6;0,3;4,6;24

Какао-порошок;24,3;15;10,2;289

Кальмар;18;2,2;2;100

Кальмары;15,5;1,4;3,1;92

Кальмары сушеные;62;2;5;286

Камбала дальневосточная;15,7;3;0;90

Капуста белокочанная;1,8;0,1;4,7;28

Капуста брокколи;2,8;0,37;6,6;34

Капуста брокколи вареная;2,38;0,4;7,18;35

Капуста брокколи замороженная, вареная;3,1;0,12;5,35;28

Капуста брюссельская;3,4;0,3;8,9;43

Капуста брюссельская замороженная, вареная;3,6;0,4;8,3;42

Капуста вареная;1,4;0,1;4,2;24

Капуста квашеная;1,8;0,1;3;23

Капуста кольраби;2,8;0,1;7,9;44

Капуста краснокочанная;0,8;0,2;5,1;26

Капуста листовая кале (кейл, Kale);2,8;0,6;6,6;42

Капуста листовая коллардс (Collards);3;0,6;1,4;32

Капуста пекинская;1,2;0,2;2;16

Капуста савойская;1,2;0,1;5,6;28

Капуста цветная;2,5;0,3;4,2;30

Карамель;0,8;1;96,5;384

Карась;17,7;1,8;0;87

Карп;16;5,3;0;112

Картофель;2;0,4;16,3;77

Картофель отварной;2;0,4;15,8;75

Каша из овсяных хлопьев на воде;3;1,7;15;88

Каша из овсяных хлопьев на молоке;3,2;4,1;14,2;102

"Квас Очаковский""";0;0;5,5;30

Квас хлебный;0,2;0;5,2;27

Кедровые орехи;13,7;64,1;9,4;673

Кекс с изюмом;6,4;17,6;53,6;384

Кета;19;5,6;0;127

Кета соленая;24,3;9,6;0;184

Кефаль;21;0,4;0;124

Кефир 1%;3;1;4;40

Кефир 2,5%;2,9;2,5;4;53

Кефир 3,2%;2,9;3,2;4;59

Кефир нежирный;3;0,05;4;31

Кешью;18,5;48,5;22,5;600

Кешью жареный;17,5;42,2;30,5;572

Киви;0,8;0,4;8,1;47

Кижуч;21,6;5,9;0;146

Килька балтийская;14,1;9;0;137

Килька балтийская горячего копчения;21,3;8,5;0;162

Килька балтийская соленая;17,1;7,6;0;137

Килька в томатном соусе;14;12;4,5;182

Килька каспийская;18,5;13,1;0;192

Килька пряного посола;14,8;10,5;0;154

Киноа вареная;4,4;1,9;18,5;120

Киноа крупа;14,1;6,1;57,2;368

Китовое мясо;22,5;3,2;0;119

Клубника;0,8;0,4;7,5;41

Клюква;0,5;0,2;3,7;28

Козинак из семян подсолнечника;14,8;42,6;34,5;576

Кока-кола;0;0;10,4;42

Кокосовый орех сырой;3,3;33,5;6,2;354

"Колбаса вареная """"Московская""";11,5;21,8;2;250

"Колбаса вареная ""Докторская""";12,8;22,2;1,5;257

"Колбаса вареная ""Любительская""";12,2;28;0,1;301

"Колбаса вареная ""Молочная""";11,7;22,8;0,2;252

"Колбаса вареная ""Русская""";11,5;27,9;1,7;302

"Колбаса варено-копченая ""Московская""";19,1;36,6;0,2;406

"Колбаса варено-копченая ""Сервелат""";16,1;40,1;0;425

Колбаса ливерная;14,4;28,5;2,2;326

"Колбаса полукопченая ""Краковская""";16,2;44,6;0;466

"Колбаса полукопченая ""Одесская""";14,8;38,1;0,3;402

"Колбаса сырокопченая ""Брауншвейгская""";27,7;42,2;0,2;491

"Колбаса сырокопченая ""Зернистая""";9,9;62,8;0,3;606

"Колбаса сырокопченая ""Московская""";24,8;41,5;0;473

Колбаса сырокопченая свиная;13;57;0,2;566

Конина;20,2;7;0;187

"Конфеты ""Белочка""";8,8;33,1;53,4;538

"Конфеты ""Коровка""";2,7;4,4;82,4;351

Корейка сырокопченая;10,5;47,4;0;469

Кофе с молоком и сахаром;0,7;1;11,2;58

Кофе черный зерновой без сахара;0,2;0,5;0,3;7

Краб камчатский, мясо;18,2;1;0;82

Крабовые палочки;7;0,7;16,2;95

Крабы;18,7;1,1;0,1;85

Крахмал картофельный;0,1;следы;79,6;299

Креветки;22;1,6;0;97

Кресс-салат;2,3;0,1;0,8;11

Кролик;21,2;11;0;183

Круассаны;8;19,28,8;47;470

Крупа гречневая ядрица;12,6;3,3;57,1;308

Крупа овсяная;12,3;6,1;59,5;342

"Крупа пшеничная ""Полтавская""";11,5;1,3;67,9;329

"Крупа пшеничная ""Полтавская"" вареная";2,9;0,3;15,5;79

Крыжовник;0,7;0,2;9,1;45

Кукуруза сладкая;3,9;1,3;22,7;120

Кукуруза сырая;3,3;1,35;16,7;86

Кукуруза, зерно продовольственное;10,3;4,9;60;325

Кукурузная крупа;8,3;1,2;71;328

Кумкват;1,9;0,9;13,4;71

Курага;5,2;0,3;51;232

Куриная грудка;23,6;1,9;0;113

Куриная печень;19,1;6,3;0,6;136

Куриное сердце;15,8;10,3;0,8;159

Куриные окорочка;16,8;10,2;0;158

Курица 1 кат.;18,2;18,4;0;238

Курица 2 кат.;21,2;8,2;0;159

Лаймовый, свежевыжатый;0,4;0,1;8;25

Ламинария (морская капуста) сушеная;31,5;21,8;38,1;476

Ламинария (морская капуста) сырая;1,7;0,56;8,9;43

Лангуст;18,8;1,3;0,5;89

Лангуст вареный;20,5;0,7;0,3;90

Ледяная рыба;15,5;1,4;0;75

Лемонема;15,9;0,4;0;67

Лесной орех (лещина);13;62,6;9,3;653

Лещ;17,1;4,1;0;105

Лещ вяленый;42;5,9;0;221

Лещ горячего копчения;32,8;4,5;0;172

Лещ холодного копчения;29,7;4,6;0;160

Лимон;0,9;0,1;3;34

Лимонад;0;0;6,4;26

Лимонный, свежевыжатый;0,35;0,24;6,6;22

Лисички;1,5;1;1;19

Личи;0,8;0,4;15,2;66

Лобстер;18,8;0,9;0,5;90

Лосось;19,8;6,3;0;142

Лосось;20,6;6,3;0;144

Лосось атлантический (семга);20;8,1;0;153

Лосось соленый;21;20,5;0;269

Лось;23;1,5;0;111

Лук зеленый;1,3;0,1;3,2;20

Лук порей;2;0,2;6,3;36

Лук репчатый;1,4;0,2;8,2;41

Лук репчатый красный;1,4;0,1;9,1;42

Майонез;3,1;72;3,9;665

Майонез легкий;1,4;30;6,5;300

Макаронные изделия в/с;10,4;1,1;69,7;337

Макаронные изделия в/с, вареные;3,5;0,4;23,2;112

Макаронные изделия из муки твердых сортов в/с;11;1,3;70,5;338

Макрурус;13,2;0,8;0;60

Малина;0,8;0,5;8,3;46

Манго;0,8;0,4;13,4;60

Манго сок;0;0;13,5;54

Мангольд;1,8;0,2;2,1;19

Мандариновый;0,8;0;9,8;45

Мандарины;0,8;0,2;7,5;38

Манная каша на воде;2,5;0,2;16,8;80

Манная каша на молоке;3;3,2;15,3;98

Манная крупа;10,3;1;70,6;333

Маракуйя;2,4;0,4;13,4;68

Маргарин;0,5;82,5;1;746

Мармелад;0;0,1;77,7;296

Масло оливковое;0;99,8;0;898

Масло подсолнечное;0;99,9;0;899

Масло сливочное;1;82,5;0,9;748

"Масло сливочное ""Валио""";0,7;82;0,7;740

Масло топленое;0,2;99;0;892

Масло шоколадное;1,5;62;18,6;642

Масляная рыба копченая;18;12;0;180

Маш;23,9;1,2;62,6;347

Маш вареный;7;0,4;19,2;105

Мед натуральный;0,8;0;80,3;328

Меланж;12,7;11,5;0,7;157

Мидии;11,5;2;3,3;77

Мидии;17,5;2;0;88

Миндальные лепестки;22;58;12;650

Миндальный орех;18,6;53,7;13;609

Миндальный орех жареный;22,4;55,9;12,3;642

Минтай;15,9;0,9;0;72

Мойва весенняя;13,1;7,1;0;116

Мойва копченая;18;22;0;270

Мойва осенняя;13,6;18,1;0;217

Молоки рыб;16;2,9;0;90

Молоко 1,5% жирности;3;1,5;4,8;45

Молоко 2,5%;2,9;2,5;4,8;54

Молоко 3,2%;2,9;3,2;4,7;60

Молоко коровье нежирное;3;0,05;4,9;32

Молоко сгущенное с сахаром 8,5%, Беларусь;7,2;8,5;56;329

Морковный;1,1;0,1;12,6;56

Морковь;1,3;0,1;6,9;35

Морковь отварная;1,3;0,1;6,4;33

Мороженое молочное;3,2;3,5;21,3;126

Мороженое пломбир;3,2;15;20,8;227

Морошка;0,8;0,9;7,4;40

Морская капуста;0,8;5,1;0;49

Морской гребешок;17;2;3;92

Мука пшеничная 1 сорта;10,6;1,3;69;330

Мука пшеничная 2 сорта;11,6;1,8;64,8;322

Мука пшеничная в/с;10,3;1,1;70,6;334

Мука пшеничная из твердых сортов в/с;10,8;1,3;69,9;334

Мука пшеничная обойная;11,5;2,2;61,5;312

Мука ржаная обдирная;8,9;1,7;61,8;298

Мука ржаная обойная;10,7;1,9;58,5;294

Мука ржаная сеяная;6,9;1,4;66,3;305

Навага;19,2;1,6;0;91

Налим;18,8;0,6;0;81

Нектарин;1,1;0,3;9;44

Нерка красная;20,3;8,4;0;157

Нуга;7;22;72;465

Нут;20,5;4,3;63;360

Нут вареный;8,9;2,6;27,4;164

Облепиха;1,2;5,4;5,7;82

Овсяные хлопья;12,3;6,2;61,8;352

Огурцы грунтовые;0,8;0,1;2,5;14

Огурцы маринованные;0,8;0;1,3;16

Огурцы соленые;0,8;0,1;1,7;13

Огурцы тепличные;0,7;0,1;1,9;11

Окунь морской;18,2;3,3;0;103

Окунь морской горячего копчения;23,5;8;0;166

Окунь речной;18,5;0,9;0;82

Оленина;19,5;8,5;0;155

Омар;18,8;1,3;0,5;89

Омар вареный;20,5;0,7;0,3;90

Опята;2,2;1,2;0,5;22

Орех макадамия;7,9;75,8;5,2;718

Орехи пекан;9,2;72;4,3;691

Осетр;15,8;15,4;0;202

Осетр каспийский;16,4;10,9;0;164

Осетр холодного копчения, балык;20,4;12,5;0;194

Палтус белокорый;18,9;3;0;103

Пангасиус;15,3;3;0;89

Папайя;0,5;0,26;9,1;43

Пастернак корень;1,4;0,5;9,2;47

Пастила;0,5;следы;80,4;305

Патиссон;0,6;0,1;4,1;19

Пепси;0;0;8,7;38

Перепел, мясо и кожа;19,6;12;0;192

Перец сладкий;1,3;0,1;4,9;26

Перловая крупа;9,3;1,1;66,9;315

Перловая крупа вареная;3,1;0,4;22,2;109

Персик;0,9;0,1;9,5;45

Персик сушеный;3;0,4;57,7;254

Персиковый;0,3;0;16,5;68

Петрушка зелень;3,7;0,4;7,6;49

Петрушка корень;1,5;0,6;10,1;51

Печень говяжья;17,9;3,7;5,3;127

Печень минтая;6;50;0;474

Печень свиная;18,8;3,8;4,7;109

Печень трески;4,2;65,7;1,2;613

Печенье;10,4;10;76,8;415

Печенье овсяное;6,5;14,4;71,8;437

Пиво безалкагольное;0;0;6,1;33

Пикша;17,2;0,5;0;73

Пирожные;5;27,5;59;460

Плотва;17,5;2;0;88

Повидло;0,6;0,5;74;285

Подберезовики;2,1;0,8;1,2;20

Подберезовики сушеные;23,5;9,2;14,3;231

Подосиновики;3,3;0,5;1,2;22

Подосиновики сушеные;35,4;5,4;33,2;315

Помело;0,8;0,04;8,6;38

Помидоры грунтовые;1,1;0,2;3,8;24

Помидоры маринованные;0,5;0,1;2,1;10

Помидоры соленые;0,5;0,1;2,1;11

Помидоры тепличные;0,9;0,1;2,9;17

Помидоры черри;0,8;0,1;2,8;15

Почки говяжьи;15,2;2,8;1,9;86

Пряники Тульские;9;8,6;71,5;380

Путассу;18,5;0,9;0;82

Пшено;11,5;3,3;66,5;342

Пшено вареное;3,5;1,1;23,6;119

Рак речной;15,5;1;1,2;76

Рак речной вареный;20,3;1,3;1;97

Рапана;16,7;1,1;0;77

Рахат-лукум;0,8;0,7;82;320

Редис;1,2;0,1;3,4;20

Редька зеленая;2;0,2;5,6;32

Редька черная;1,9;0,2;6,7;36

Репа;1,5;0,1;6,2;32

Рис белый шлифованный;7;1;74;333

Рис белый шлифованный вареный;2,3;0,2;28,7;130

Рис дикий черный (цицания водная);14,7;1,1;68,7;357

Рис дикий черный вареный;4;0,3;19,5;101

Рис длиннозерный нешлифованный (бурый);7,5;2;73;340

Рис красный нешлифованный;7,5;3;68;330

Рис нешлифованный (бурый) вареный;2,5;0,9;23;112

Розмарин свежий;3,3;5,9;17,6;131

Руккола;2,6;0,7;2,1;25

Сазан;18,2;2,7;0;97

Сайра бланшированная в масле;18,3;23,3;0;283

Салака копченая;25,4;5,6;0;152

Салат листовой;1,5;0,2;2;16

Сало;2,4;89;0;797

Сардельки говяжьи;11,4;18,2;1,3;215

Сардельки свиные;10,1;31,6;1,8;322

Сардины в масле;24,1;13,9;0;221

Сардины в томатном соусе;17;9,9;1,4;162

Сардины с добавлением масла;19;18;0;238

Сахар тростниковый;0;0;99,7;394

Сахар-песок;0;0;99,8;399

Сахар-рафинад;0;0;99,9;400

Свекла;1,2;0,1;7,1;32

Свекла;1,5;0,1;8,8;42

Свекла отварная;1,8;0,1;9,8;48

Свинина жирная;11,7;49,3;0;491

Свинина мясная;14,3;33,3;0;357

Свинина тушеная консервированная;14,9;32,2;0,2;349

Свинина, вырезка;19,4;7,1;0;142

Сдоба;8;16,8;74,4;450

Сельдерей зелень;0,9;0,1;2,1;13

Сельдерей корень;1,3;0,3;6,5;37

Сельдь;17,5;2;0;88

Сельдь атлантическая жирная;17,7;19,5;0;248

Сельдь атлантическая нежирная;19,1;6,5;0;135

Сельдь атлантическая среднесоленая;17;8,5;0;145

Сельдь в растительном масле;16,4;26,5;0;301

Сельдь горячего копчения;21,8;14,3;0;215

Сельдь соленая;19,8;15,4;0;217

Сельдь тихоокеанская жирная;14;15;0;191

Сельдь тихоокеанская нежирная;18;7;0;135

Сельдь тихоокеанская среднесоленая;17,4;17,1;0;224

Семга;21,6;6;0;140

Семга брюшки;25;24;0;310

Семга копченая;22,5;12,5;0;202

Семга соленая потрошеная с головой;22,5;12,5;0;202

Семена конопли неочищенные;20,1;32,5;14;429

Семена конопли очищенные;31,6;48,7;4,7;553

Семена кунжута;19,4;48,7;12,2;565

Семена льна;18,3;42,2;28,9;534

Семена мака;17,5;47,5;14,5;556

Семена чиа;16,5;30,7;7,7;486

Семечки подсолнечника, ядра сушеные;20,8;51,5;17,4;584

Семечки тыквенные, ядра сушеные;30,2;49,1;9,3;559

Сердце говяжье;16;3,5;2;96

Скумбрия;18,7;11,9;0;181

Скумбрия атлантическая;18;13,2;0;191

Скумбрия в масле;14,4;28,9;0;318

Скумбрия горячего копчения;22,1;23,8;0;307

Скумбрия натуральная;17,7;14,4;0;200

Скумбрия холодного копчения;23,4;6,4;0;150

Слива;0,8;0,3;9,6;49

Сливки 10%;2,7;10;4,4;119

Сливки 20%;2,5;20;4;205

Сметана 10%;2,7;10;3,9;119

Сметана 20%;2,5;20;3,4;206

Сметана 30%;2,3;30;3,1;293

Смородина белая;0,5;0,2;8;42

Смородина красная;0,6;0,2;7,7;43

Смородина черная;1;0,4;7,3;44

Сморчки;1,7;0,3;4,2;27

Соевые бобы;36,4;19,9;30,1;446

Соевые бобы вареные;16,6;8,9;9,9;173

Сом;17,2;5,1;0;115

"Сосиски ""Молочные""";11;23,9;0,4;261

Сосиски говяжьи;10,4;20,1;0,8;226

Сосиски куриные;10,8;22,4;4,2;259

Сосиски свиные;9,5;34,3;0;342

Соя зерно;36,7;17,8;17,3;364

Спаржа;1,9;0,1;3,1;21

Спирулина сушеная;57,5;7,72;23,4;290

Спред;0;40;0;360

Ставрида в масле;15,6;27,4;0;309

Ставрида в томатном соусе;14,8;2,3;73;110

Ставрида океаническая;18,5;4,5;0;114

Стерлядь;17;6,1;0;122

Страусиное мясо;21,8;2,3;0;114

Судак;18,4;1,1;0;84

Сулугуни;20,5;22;0,4;286

Сухари из пшеничной муки;11,2;1,4;72,4;331

"Сыр ""Viola""";11;28;2;305

"Сыр ""Адыгейский""";19,8;19,8;1,5;264

"Сыр ""Гауда""";25;27;2;356

"Сыр ""Голландский"" брусковый""";26;26,8;0;352

"Сыр ""Голландский"" круглый""";23,7;30,4;0;375

"Сыр ""Ламбер""";23,7;30,5;0;377

"Сыр ""Ламбер"" сливочный""";23,7;32,5;0;395

"Сыр ""Маасдам""";23,5;26;0;350

"Сыр ""Пармезан""";37,8;27,3;3,4;415

"Сыр ""Российский""";23,2;29,5;0;364

"Сыр ""Тильзитер""";24,4;26;1,9;340

"Сыр ""Фета""";14,2;21,3;4;264

"Сыр ""Эдам""";25;27,8;1,4;357

Сыр моцарелла из цельного молока;22,2;22,3;2,2;300

Сыр плавленый;16,8;11,2;23,8;257

Сыр рикотта из цельного молока;11,3;13;3;174

Сыроежки;1,7;0,7;1,5;19

Творог 18%;15;18;2,8;236

Творог 5%;21;5;3;145

Творог 9%;18;9;3;169

Творог нежирный;22;0,6;3,3;110

Телятина 1 категории;19,7;2;0;97

Терн;1,5;0,3;9,4;54

Терпуг;17,8;3,4;0;102

Тилапия;20,1;1,7;0;96

Тимьян свежий;5,6;1,7;15,9;101

Толокно овсяное;12,5;6;64,9;363

Томатный;1,1;0,2;3,8;21

Тоник;0;0;8,3;34

Топинамбур;2,1;0,1;12,8;61

Торт "Наполеон";6,4;42;39;560
Торт "Полет";5,7;24,8;55,4;456
Торт "Прага";7,2;26,5;65;520
Торт "Сказка";4,3;17,1;46,9;351

Торт медовый;6;29;49;480

Торт сметанно-ореховый;2,9;13,5;35,3;275

Треска атлантическая;17,8;0,7;0;82

Треска тихоокеанская;15,3;0,4;0;69

Тунец в масле;22;15,9;0;232

Тунец голубой;23,3;4,9;0;144

Тунец желтоперый (желтохвостый);24,4;0,5;0;109

Тунец натуральный;22,5;0,7;0;96

Тунец полосатый;22;1; ;103

Тыква;1;0,1;4,4;23

Тыква отварная;1,2;0,1;4,9;26

Тыквенный;0;0;9;38

Укроп;2,5;0,5;6,3;40

Урюк;5;0,4;53;242

Устрица;9;2;4,5;72

Утка дикая, мясо;19,8;4,3;0;123

Утка дикая, мясо и кожа;17,4;15,2;0;211

Утка домашняя, мясо и кожа;15,8;38;0;405

Фазан, грудка;24,3;3,2;0;133

Фазан, мясо и кожа;22,7;9,3;0;181

Фанта;0;0;11,7;48

Фасоль красная вареная;8,7;0,5;22,8;127

Фасоль обыкновенная красная, все виды;23,5;0,8;60;333

Фасоль стручковая;2,5;0,3;3;23

Фейхоа;0.7;0.4;8.8;61

Финики;2,5;0,5;69,2;292

Фисташки жареные без масла;21,1;45,8;17,3;569

Фисташки сырые;20,2;45,3;16,6;560

Форель;19,2;2,1;0;97

Форель копченая;26;3,1;0,5;132

Форель морская;20,5;4,3;0;157

Форель слабосоленая;20,6;10,1;0;186

Форель слабосоленая жирная;23;15;0;227

Фундук (лещина окультуренная);15;61,5;9,4;651

Фундук жареный;17,8;66,1;9,4;703

Халва подсолнечная;11,6;29,7;54;516

Хамса соленая;21,2;9;0;166

Хек;16,6;2,2;0;86

"Хлеб ""Бородинский""";6,9;1,3;40,9;208

Хлеб зерновой (мука пшеничная в/с);8,6;1,4;45,1;228

Хлеб из ржано-пшеничной муки;6,8;1,2;46,4;215

Хлеб пшеничный из муки 1 сорта;7,6;0,9;49,7;226

Хлеб пшеничный из муки высшего сорта;7,6;2,9;51,4;262

Хлеб ржаной;4,7;0,7;49,8;214

Хлеб цельнозерновой из смеси злаков;13,3;4,2;43,3;265

"Хлебцы Dr.Körner ""Бородинские""";11;3;52;280

"Хлебцы Dr.Körner ""Гречневые"" с витаминами";11,6;3;52,4;283

"Хлебцы Dr.Körner ""Рисовые"" с витаминами";6;1;69;310

"Хлебцы Dr.Körner ""Семь злаков""";10;2;57;290

Хрен;3,2;0,4;10,5;59

Хурма;0,5;0,4;15,3;67

Цикорий растворимый;0,1;0;2,8;11

Цуккини;1,2;0,2;2.7;17

Чай зеленый;0;0;0;0

Чай черный без сахара;0,1;0;0;0

Чай черный с молоком и сахаром;0,7;0,8;8,2;4

Чай черный с сахаром;0,1;0;7;28

Чак-чак;8,6;1,9;77,9;363

Черешня;1,1;0,4;10,6;52

Черника;1,1;0,6;7,6;44

Чернослив (слива сушеная);2,3;0,7;57,5;256

Чеснок;6,5;0,5;29,9;149

Чечевица;24,6;1,1;63,4;352

Чечевица вареная;9;0,4;20,1;116

Чечевица красная;21,6;1,1;48;314

Чечевица красная колотая персидская;24,7;1,2;62,5;328

Шампиньоны;4,3;1;0,1;27

Шиповник свежий;1,6;0,7;22,4;109

Шиповник сухой;3,4;1,4;48,3;284

Шоколад горький;8;36;46,8;540

Шоколад молочный;6,9;35,7;54,4;550

"Шоколадный батончик ""Сникерс""";9,3;27,9;54,6;507

Шпик;1,4;92,8;0;841

Шпикачки;10;33;0;337

Шпинат;2,9;0,3;2;23

Шпротный паштет;12;14;5,3;195

Шпроты в масле;17,4;32,4;0,4;363

Щавель;1,5;0,3;2,9;22

Щука;18,4;1,1;0;84

Яблоки;0,4;0,4;9,8;47

Яблоки сушеные;2,2;0,1;59;253

Яблочный;0,5;0,1;10,1;46

Язык говяжий;16;12,1;2,2;173

Язык морской;10,3;5,2;0;88

Язык свиной;15,9;16;2,1;208

Язь;18,2;1;0;81

Яичный порошок;46;37,3;4,5;542

Яйцо гусиное;13,9;13,3;1,4;185

Яйцо куриное;12,7;10,9;0,7;157

Яйцо куриное жареное без масла;14,6;12,6;0,8;174

Яйцо куриное отварное;12,7;11,5;0,7;157

Яйцо перепелиное;11,9;13,1;0,6;168

Яйцо страусиное;12,2;11,7;0,7;118

Яйцо утиное;13,3;14,5;0,1;185

Ячневая крупа;10;1,3;65,4;313

Ячневая крупа вареная;2,3;0,3;15,7;76


